,id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,country_name,iso_country,region_name,iso_region,local_region,municipality,gps_code,iata_code,local_code,keywords
102,318661,TZ-0099,small_airport,Merugoi Airport,-2.723808,36.135783,3700.0,Tanzania,TZ,Arusha Region,TZ-01,1,Longido,,,,
103,318783,TZ-0125,small_airport,Lugala Airport,-8.916494,36.126593,943.0,Tanzania,TZ,Morogoro Region,TZ-16,16,Lugala,,,,
104,318596,TZ-0037,small_airport,Luhanyando Airoprt,-9.447883,36.848932,,Tanzania,TZ,Morogoro Region,TZ-16,16,Luhanyando,,,,
105,42492,TZ-LUY,small_airport,Lushoto Airport,-4.783259868621826,38.30419921875,5360.0,Tanzania,TZ,Tanga Region,TZ-25,25,Lushoto,,LUY,,
106,318784,TZ-0126,small_airport,Luwegu Airport,-9.022345,37.289976,500.0,Tanzania,TZ,Morogoro Region,TZ-16,16,Luwegu,,,,
107,318785,TZ-0127,small_airport,Lwafi Airport,-6.982929,30.894894,3600.0,Tanzania,TZ,Rukwa Region,TZ-20,20,Lwafi,,,,
108,31647,HTSH,small_airport,Mafinga Airport,-8.350000381469727,35.29999923706055,6300.0,Tanzania,TZ,Iringa Region,TZ-04,4,Mafinga,HTSH,,,
109,318588,TZ-0029,small_airport,Magangwe Airport,-7.719942,34.226726,,Tanzania,TZ,Mbeya Region,TZ-14,14,Magangwe,,,,
110,318648,TZ-0087,small_airport,Mahaka Airport,-6.135581,35.049797,2740.0,Tanzania,TZ,Dodoma Region,TZ-03,3,Mahaka,,,,
111,42485,HTML,small_airport,Mahale Airstrip,-6.012913,29.766937,2561.0,Tanzania,TZ,Xigoma Region,TZ-08,8,Mahale,HTML,,,
112,318649,TZ-0088,small_airport,Makau Airport,-3.367409,34.824166,5131.0,Tanzania,TZ,Shinyanga Region,TZ-22,22,Makau,HTMH,,,
113,318786,TZ-0128,small_airport,Makwasa Airport,-6.817874,34.218918,4000.0,Tanzania,TZ,Singida Region,TZ-23,23,Makwasa,,,,
114,318651,TZ-0089,small_airport,Malagarasi Airport,-4.793813,30.712949,3819.0,Tanzania,TZ,Xigoma Region,TZ-08,8,Malagarasi,,,,
115,318652,TZ-0090,small_airport,Mamarehe Airport,-2.657814,34.394518,4750.0,Tanzania,TZ,Shinyanga Region,TZ-22,22,Mamarehe,,,,
116,42494,TZ-0002,small_airport,Manyoni North Airport,-5.72119,34.838487,4080.0,Tanzania,TZ,Singida Region,TZ-23,23,Manyoni,,,,
117,318567,TZ-0010,small_airport,Manyoni Airport,-5.758501,34.799656,4084.0,Tanzania,TZ,Singida Region,TZ-23,23,Manyoni,HTMN,,,
118,32707,HTMI,small_airport,Masasi Airport,-10.733,38.766998,1700.0,Tanzania,TZ,Mtwara Region,TZ-17,17,Masasi,HTMI,XMI,,
119,318787,TZ-0129,small_airport,Masusu Airport,-2.272545,35.808636,4000.0,Tanzania,TZ,Arusha Region,TZ-01,1,Masusu,,,,
120,318658,TZ-0096,small_airport,Mbono 2 Airport,-3.11141,34.660824,5320.0,Tanzania,TZ,Shinyanga Region,TZ-22,22,Maswa,,,,
121,318598,TZ-0039,small_airport,Matambwe Airport,-7.528887,37.76201,585.0,Tanzania,TZ,Morogoro Region,TZ-16,16,Matambwe,HTME,,,
122,318655,TZ-0093,small_airport,Matemanga Airport,-10.763142,36.953222,2700.0,Tanzania,TZ,Ruvuma Region,TZ-21,21,Matemanga,,,,
123,318656,TZ-0094,small_airport,Matipwili Airport,-6.248936,38.678104,85.0,Tanzania,TZ,Pwani Region,TZ-19,19,Matipwili,,,,
124,318571,TZ-0014,small_airport,Mbamba Bay Airport,-11.303451,34.842717,,Tanzania,TZ,Ruvuma Region,TZ-21,21,Mbamba Bay,,,,
125,318657,TZ-0095,small_airport,Mbarali Airport,-8.656494,34.273113,3432.0,Tanzania,TZ,Mbeya Region,TZ-14,14,Mbarali,,,,
126,308203,HTBS,small_airport,Mbesa Airport,-11.331675,37.067816,1980.0,Tanzania,TZ,Ruvuma Region,TZ-21,21,Mbesa Mission,HTBS,,,
127,42495,TZ-0003,small_airport,Mbinga Airport,-10.96399974822998,35.01179885864258,4335.0,Tanzania,TZ,Ruvuma Region,TZ-21,21,Mbinga,,,,
128,318682,TZ-0120,small_airport,Yaeda Airport,-3.961546,35.144932,,Tanzania,TZ,Manyara Region,TZ-26,26,Mbulu,,,,
129,318600,TZ-0041,small_airport,Mbunga Airport,-8.978724,36.869154,,Tanzania,TZ,Morogoro Region,TZ-16,16,Mbunga,,,,
130,318788,TZ-0130,small_airport,Mikindani Airport,-10.256118,40.093869,136.0,Tanzania,TZ,Mtwara Region,TZ-17,17,Mikindani,,,,
131,42484,HTMK,small_airport,Mikumi Airport,-7.333427906036377,37.11635971069336,1737.0,Tanzania,TZ,Morogoro Region,TZ-16,16,Mikumi,HTMK,,,
132,351484,TZ-0144,small_airport,Milambi Airport,-1.40561,30.74995,4279.0,Tanzania,TZ,Kagera Region,TZ-05,5,Milambi,,,,
133,318603,TZ-0042,small_airport,Mkangira Airport,-8.958151,37.338793,,Tanzania,TZ,Morogoro Region,TZ-16,16,Mkangira,,,,
134,318604,TZ-0043,small_airport,Mkomazi-Kisima Airport,-4.079592,38.086684,,Tanzania,TZ,Kilimanjaro Region,TZ-09,9,Mkomazi,,,,
135,318605,TZ-0044,small_airport,Mkuyu Airport,-9.966951,36.878941,,Tanzania,TZ,Lindi Region,TZ-12,12,Mkuyu,,,,
136,318570,TZ-0013,small_airport,Mkwaja Airport,-5.719283,38.828465,,Tanzania,TZ,Kagera Region,TZ-05,5,Mkwaja,,,,
137,318662,TZ-0100,small_airport,Mlambala Airport,-7.233234,32.063351,3278.0,Tanzania,TZ,Rukwa Region,TZ-20,20,Mlambala,,,,
138,318663,TZ-0101,small_airport,Mlele Ram Airport,-6.784087,31.367951,3300.0,Tanzania,TZ,Rukwa Region,TZ-20,20,Mlele,,,,
139,318789,TZ-0131,small_airport,Mlele Airport,-7.119408,31.839151,3500.0,Tanzania,TZ,Rukwa Region,TZ-20,20,Mlele,,,,
140,318606,TZ-0045,small_airport,Mlembwe Airport,-9.426932,37.519672,,Tanzania,TZ,Lindi Region,TZ-12,12,Mlembwe,,,,
141,31641,HTMO,small_airport,Mombo Airport,-4.899146,38.240289,1350.0,Tanzania,TZ,Tanga Region,TZ-25,25,Mombo,HTMO,,,
142,318681,TZ-0119,small_airport,Wosiwosi Airport,-2.402902,36.120142,,Tanzania,TZ,Manyara Region,TZ-26,26,Monduli,,,,
143,31640,HTMG,small_airport,Morogoro Airport,-6.79722,37.653099,1676.0,Tanzania,TZ,Morogoro Region,TZ-16,16,Morogoro,HTMG,,,
144,318665,TZ-0103,small_airport,Mountain Side Airport,-2.878109,37.135211,6200.0,Tanzania,TZ,Kilimanjaro Region,TZ-09,9,Moshi,,,,
145,31642,HTMP,small_airport,Mpanda Airport,-6.355374,31.084116,3520.0,Tanzania,TZ,Rukwa Region,TZ-20,20,Mpanda,HTMP,NPY,,
146,318644,TZ-0083,small_airport,Lugonesi Airport,-6.15954,30.298705,5200.0,Tanzania,TZ,Rukwa Region,TZ-20,20,Mpanda,,,,
147,318578,TZ-0021,small_airport,Mpululu Airport,-7.042659,34.724101,,Tanzania,TZ,Iringa Region,TZ-04,4,Mpululu,,,,
148,318607,TZ-0046,small_airport,Mpunde Airport,-6.259359,33.619996,,Tanzania,TZ,Tabora Region,TZ-24,24,Mpunde,,,,
